file,dogs,cats
data/dogs_cats/original/unknown\0.jpg,0.7789179086685181,0.22108204662799835
data/dogs_cats/original/unknown\1.jpg,0.5473501086235046,0.45264992117881775
data/dogs_cats/original/unknown\2.jpg,0.9381219744682312,0.06187799200415611
data/dogs_cats/original/unknown\3.jpg,0.8233635425567627,0.17663642764091492
data/dogs_cats/original/unknown\4.jpg,0.9999969005584717,3.112656941084424e-06
data/dogs_cats/original/unknown\5.jpg,0.16107787191867828,0.8389221429824829
data/dogs_cats/original/unknown\6.jpg,0.5225683450698853,0.47743159532546997
data/dogs_cats/original/unknown\7.jpg,0.05669829994440079,0.9433016777038574
data/dogs_cats/original/unknown\8.jpg,0.33884358406066895,0.6611563563346863
data/dogs_cats/original/unknown\9.jpg,0.3148134648799896,0.6851866245269775
